channel,video,battery,tesla,range,charging,charger,suv,network,rivian,electrify america,capacity
Fully Charged Show,0,-147,-147,-147,-147,0,-147,0,-147,-147,0
Fully Charged Show,1,-348,-348,0,0,0,0,0,0,-348,0
Fully Charged Show,2,-751,0,-751,0,0,0,0,-751,-751,0
Fully Charged Show,3,-276,-276,-276,0,0,0,0,0,0,-276
Fully Charged Show,4,-444,0,-444,-444,-444,0,0,0,0,0
Fully Charged Show,5,-108,-108,0,-108,0,-108,0,0,0,-108
Fully Charged Show,6,-118,0,0,0,0,-118,0,0,0,0
Fully Charged Show,7,0,0,0,0,0,0,0,0,0,0
Fully Charged Show,8,-115,0,-115,0,0,0,0,0,0,-115
Fully Charged Show,9,-235,-235,-235,-235,0,0,0,0,0,-235
Fully Charged Show,10,-92,-92,-92,-92,0,-92,0,-92,0,0
Fully Charged Show,11,0,-446,0,-446,0,0,0,0,0,0
Fully Charged Show,12,-88,0,-88,-88,0,0,0,0,0,0
Fully Charged Show,13,-232,0,-232,-232,0,-232,0,0,0,0
Fully Charged Show,14,-121,-121,-121,0,0,-121,0,0,0,0
Fully Charged Show,15,-539,0,-539,-539,0,-539,0,0,0,0
Fully Charged Show,16,-172,0,-172,0,0,-172,0,0,0,0
Fully Charged Show,17,-111,0,-111,0,-111,0,0,0,0,0
Fully Charged Show,18,-58,0,0,0,0,0,0,0,0,0
Fully Charged Show,19,-282,0,-282,-282,0,0,0,0,0,0
Fully Charged Show,20,-360,0,-360,-360,-360,-360,0,0,0,0
Fully Charged Show,21,-25,0,-25,0,0,0,0,0,0,0
Fully Charged Show,22,-254,0,-254,0,0,-254,0,0,0,0
Fully Charged Show,23,-212,0,-212,0,0,0,0,0,0,0
Fully Charged Show,24,-175,0,-175,0,0,0,0,0,0,0
Fully Charged Show,25,-205,0,-205,0,0,0,0,0,0,0
Fully Charged Show,26,-340,0,-340,0,-340,0,0,0,0,-340
Fully Charged Show,27,-342,0,-342,0,0,0,0,0,0,0
Fully Charged Show,28,-97,0,0,0,0,0,0,0,0,0
Fully Charged Show,29,-210,0,-210,-210,0,0,0,0,0,-210
Fully Charged Show,30,0,0,0,0,0,0,0,0,0,0
Fully Charged Show,31,-293,0,0,0,0,0,0,0,0,0
Fully Charged Show,32,-135,0,-135,-135,-135,0,0,0,0,-135
Fully Charged Show,33,-623,-623,-623,-623,-623,0,0,0,0,0
Fully Charged Show,34,-231,0,-231,-231,0,-231,0,0,0,0
Fully Charged Show,35,-129,0,-129,-129,0,0,0,0,0,0
Fully Charged Show,36,-238,-238,-238,-238,-238,0,-238,0,0,-238
Bjorn Nyland,1,-59,-59,-59,-59,-59,0,0,0,0,0
Bjorn Nyland,2,-16,-16,-16,-16,-16,0,0,0,0,0
Bjorn Nyland,3,-7,-7,0,-7,-7,0,0,0,0,0
Bjorn Nyland,4,-18,0,0,-18,-18,0,0,0,0,0
Bjorn Nyland,5,-22,0,-22,-22,-22,0,0,0,0,0
Bjorn Nyland,6,-4,0,0,-4,-4,0,0,0,0,0
Bjorn Nyland,7,-48,-48,-48,-48,-48,0,0,0,0,0
Bjorn Nyland,8,-27,-27,-27,-27,-27,0,0,0,0,-27
Bjorn Nyland,9,-15,-15,-15,-15,-15,0,0,0,0,-15
Bjorn Nyland,10,-4,-4,0,-4,-4,0,0,0,0,0
Bjorn Nyland,11,-20,0,-20,-20,-20,0,0,0,0,0
Bjorn Nyland,12,0,-29,0,0,0,-29,0,0,0,0
Bjorn Nyland,13,0,-16,0,0,0,-16,0,0,0,0
Bjorn Nyland,14,-16,-16,-16,0,0,-16,0,0,0,0
Bjorn Nyland,15,0,-11,0,0,0,0,0,0,0,0
Bjorn Nyland,16,0,0,0,0,0,-26,0,0,0,0
