channel,battery,tesla,range,charging,charger,suv,network,rivian,electrify america,capacity
Fully Charged Show,95,95,95,95,0,95,0,95,95,0
Fully Charged Show,212,212,0,0,0,0,0,0,212,0
Fully Charged Show,471,0,471,0,0,0,0,471,471,0
Fully Charged Show,189,189,189,0,0,0,0,0,0,189
Fully Charged Show,381,0,381,381,381,0,0,0,0,0
Fully Charged Show,59,59,0,59,0,59,0,0,0,59
Fully Charged Show,90,0,0,0,0,90,0,0,0,0
Fully Charged Show,0,0,0,0,0,0,0,0,0,0
Fully Charged Show,100,0,100,0,0,0,0,0,0,100
Fully Charged Show,68,68,68,68,0,0,0,0,0,68
Fully Charged Show,106,106,106,106,0,106,0,106,0,0
Fully Charged Show,0,408,0,408,0,0,0,0,0,0
Fully Charged Show,55,0,55,55,0,0,0,0,0,0
Fully Charged Show,174,0,174,174,0,174,0,0,0,0
Fully Charged Show,99,99,99,0,0,99,0,0,0,0
Fully Charged Show,523,0,523,523,0,523,0,0,0,0
Fully Charged Show,192,0,192,0,0,192,0,0,0,0
Fully Charged Show,56,0,56,0,56,0,0,0,0,0
Fully Charged Show,37,0,0,0,0,0,0,0,0,0
Fully Charged Show,248,0,248,248,0,0,0,0,0,0
Fully Charged Show,260,0,260,260,260,260,0,0,0,0
Fully Charged Show,27,0,27,0,0,0,0,0,0,0
Fully Charged Show,104,0,104,0,0,104,0,0,0,0
Fully Charged Show,154,0,154,0,0,0,0,0,0,0
Fully Charged Show,183,0,183,0,0,0,0,0,0,0
Fully Charged Show,174,0,174,0,0,0,0,0,0,0
Fully Charged Show,256,0,256,0,256,0,0,0,0,256
Fully Charged Show,274,0,274,0,0,0,0,0,0,0
Fully Charged Show,86,0,0,0,0,0,0,0,0,0
Fully Charged Show,174,0,174,174,0,0,0,0,0,174
Fully Charged Show,0,0,0,0,0,0,0,0,0,0
Fully Charged Show,386,0,0,0,0,0,0,0,0,0
Fully Charged Show,109,0,109,109,109,0,0,0,0,109
Fully Charged Show,748,748,748,748,748,0,0,0,0,0
Fully Charged Show,322,0,322,322,0,322,0,0,0,0
Fully Charged Show,156,0,156,156,0,0,0,0,0,0
Fully Charged Show,108,108,108,108,108,0,108,0,0,108
Bjorn Nyland,51,51,51,51,51,0,0,0,0,0
Bjorn Nyland,24,24,24,24,24,0,0,0,0,0
Bjorn Nyland,17,17,0,17,17,0,0,0,0,0
Bjorn Nyland,26,0,0,26,26,0,0,0,0,0
Bjorn Nyland,26,0,26,26,26,0,0,0,0,0
Bjorn Nyland,15,0,0,15,15,0,0,0,0,0
Bjorn Nyland,50,50,50,50,50,0,0,0,0,0
Bjorn Nyland,15,15,15,15,15,0,0,0,0,15
Bjorn Nyland,22,22,22,22,22,0,0,0,0,22
Bjorn Nyland,9,9,0,9,9,0,0,0,0,0
Bjorn Nyland,19,0,19,19,19,0,0,0,0,0
Bjorn Nyland,0,32,0,0,0,32,0,0,0,0
Bjorn Nyland,0,23,0,0,0,23,0,0,0,0
Bjorn Nyland,11,11,11,0,0,11,0,0,0,0
Bjorn Nyland,0,16,0,0,0,0,0,0,0,0
Bjorn Nyland,0,0,0,0,0,37,0,0,0,0
Bjorn Nyland,0,46,0,0,0,46,0,0,0,0
Bjorn Nyland,0,0,0,0,0,8,0,0,0,0
Bjorn Nyland,29,0,0,29,0,0,0,0,0,0
Bjorn Nyland,10,0,0,0,0,0,0,0,0,0
Bjorn Nyland,8,0,8,8,0,0,0,0,0,0
Bjorn Nyland,-13,-13,0,-13,0,0,0,0,0,0
Bjorn Nyland,0,21,0,21,0,0,0,0,0,0
Bjorn Nyland,9,9,9,9,9,0,0,0,0,9
Bjorn Nyland,10,10,10,0,0,0,0,0,0,0
Bjorn Nyland,0,0,0,0,0,0,0,0,0,0
Electric Vehicle Man,19,19,19,19,19,19,0,0,0,19
Electric Vehicle Man,29,0,0,29,0,29,0,0,0,0
Electric Vehicle Man,107,107,107,0,107,0,0,0,0,0
Electric Vehicle Man,31,0,0,0,0,0,31,0,0,0
Electric Vehicle Man,132,132,132,0,0,0,0,0,0,0
Electric Vehicle Man,0,0,0,43,43,0,43,0,0,43
Electric Vehicle Man,103,103,0,103,103,0,0,0,0,0
Electric Vehicle Man,0,0,0,98,98,0,98,0,0,0
Electric Vehicle Man,32,32,32,32,0,0,0,0,0,0
Electric Vehicle Man,95,95,95,0,95,0,0,0,0,0
Electric Vehicle Man,237,0,237,0,0,0,237,0,0,0
Electric Vehicle Man,18,0,18,18,18,0,18,0,0,0
Electric Vehicle Man,83,83,83,83,0,0,0,0,0,0
Electric Vehicle Man,82,82,82,82,82,0,0,0,0,0
Electric Vehicle Man,62,62,62,62,0,62,62,0,0,0
Electric Vehicle Man,49,49,49,0,0,0,0,0,0,0
Electric Vehicle Man,35,0,35,35,35,0,0,0,0,0
Electric Vehicle Man,63,63,63,63,63,0,63,0,0,0
Electric Vehicle Man,63,63,63,63,63,0,63,0,0,0
Electric Vehicle Man,41,0,41,41,0,0,0,0,0,0
Electric Vehicle Man,164,0,164,0,164,0,0,0,0,0
Electric Vehicle Man,57,57,0,57,0,57,0,0,0,0
Electric Vehicle Man,109,0,109,109,109,0,0,0,0,0
Electric Vehicle Man,64,64,64,0,0,0,0,0,0,0
Electric Vehicle Man,0,106,0,106,106,106,106,0,0,0
Electric Vehicle Man,86,86,0,0,0,0,0,0,0,0
Electric Vehicle Man,0,0,0,54,54,0,54,0,0,0
Electric Vehicle Man,0,0,0,54,54,0,0,0,0,54
Electric Vehicle Man,221,221,221,221,221,0,0,0,0,0
Electric Vehicle Man,65,65,65,65,65,0,65,0,0,0
Electric Vehicle Man,3,3,3,3,3,0,3,0,0,0
Electric Vehicle Man,0,0,0,0,0,0,0,0,0,0
Electric Vehicle Man,6,6,6,6,6,0,0,0,0,6
Electric Vehicle Man,0,11,11,11,11,0,0,0,0,0
Electric Vehicle Man,2,0,0,0,0,0,0,0,0,0
Electric Vehicle Man,0,6,6,6,0,6,6,0,0,0
Electric Vehicle Man,6,6,6,6,6,6,6,0,0,6
Now You Know,0,0,174,0,0,0,0,174,0,0
Now You Know,533,533,533,533,533,533,533,533,533,533
Now You Know,97,97,97,97,97,0,97,97,97,0
Now You Know,58,58,58,58,58,0,0,58,0,0
Now You Know,87,87,0,87,0,0,87,87,0,0
Now You Know,0,55,0,0,55,0,55,0,0,0
Now You Know,0,0,0,0,0,0,0,0,0,0
Now You Know,70,0,70,70,70,0,0,70,70,0
Now You Know,0,0,0,0,0,0,0,0,0,0
Now You Know,76,0,76,0,76,0,0,0,0,0
Now You Know,80,80,80,0,0,0,0,0,0,80
Now You Know,88,88,88,88,88,88,0,0,0,0
Now You Know,16,16,0,0,0,0,0,0,0,0
Now You Know,0,37,0,0,0,0,0,0,0,0
Now You Know,23,23,23,0,0,23,0,0,0,0
Now You Know,270,270,270,0,0,0,0,0,0,0
Now You Know,94,94,94,94,94,0,0,94,0,94
Now You Know,199,199,0,199,0,0,199,0,0,0
Now You Know,242,242,0,242,242,0,0,0,0,0
Now You Know,27,27,0,0,0,0,0,0,0,0
Now You Know,173,173,173,0,0,0,0,0,0,173
Now You Know,0,140,0,0,0,0,140,0,0,0
Now You Know,97,97,0,97,0,0,0,0,0,97
Now You Know,0,616,0,0,0,616,0,0,0,0
Now You Know,0,83,0,83,0,0,0,83,0,0
Now You Know,0,0,0,130,130,0,130,0,0,0
Now You Know,0,345,0,0,0,0,0,0,0,0
Now You Know,0,47,0,0,0,0,0,0,0,0
Now You Know,0,0,0,0,0,0,0,0,0,0
Now You Know,0,150,0,0,0,0,0,0,0,0
Now You Know,50,50,50,50,50,0,50,50,50,0
Now You Know,0,25,0,0,0,0,0,0,0,25
Now You Know,0,25,0,25,0,0,25,0,0,0
Now You Know,0,70,0,0,0,0,0,0,0,0
Now You Know,0,85,0,0,0,0,85,0,0,0
Now You Know,0,73,0,0,0,0,0,0,0,0
Now You Know,0,90,0,0,0,0,0,90,0,0
Now You Know,0,40,0,0,0,0,0,0,0,0
Now You Know,0,68,0,0,0,0,0,0,0,0
Now You Know,0,43,0,0,0,0,0,0,0,43
Now You Know,44,44,44,44,0,0,44,0,0,0
Now You Know,0,109,0,109,0,0,109,0,109,0
Now You Know,0,118,0,0,0,118,118,0,0,0
Now You Know,0,41,0,0,0,0,0,0,0,0
Now You Know,0,85,0,0,0,0,0,0,0,0
Now You Know,199,199,0,0,0,0,0,0,0,0
Now You Know,0,157,0,0,0,0,0,0,0,0
Now You Know,0,64,0,0,0,0,0,0,0,0
Now You Know,0,124,0,0,0,0,124,0,0,0
Now You Know,31,31,31,31,31,0,31,0,0,0
Now You Know,57,57,0,0,0,0,0,0,0,0
Now You Know,0,60,0,0,0,0,60,0,0,0
Now You Know,0,28,0,0,0,0,0,0,0,0
Now You Know,0,83,0,83,0,0,0,0,0,0
Now You Know,0,43,0,0,0,0,0,0,0,0
Now You Know,0,60,0,0,0,0,0,0,0,0
E for Electric,10,10,10,10,0,0,10,0,0,0
E for Electric,0,15,15,15,0,0,0,0,15,0
E for Electric,0,25,25,25,25,0,0,0,25,0
E for Electric,61,61,61,61,0,0,0,61,0,0
E for Electric,13,13,13,13,0,0,13,0,0,0
E for Electric,38,38,38,38,0,0,38,38,38,38
E for Electric,30,30,30,30,0,0,30,0,0,0
E for Electric,0,75,75,0,0,0,0,75,0,0
E for Electric,8,8,8,8,0,0,8,0,0,0
E for Electric,5,5,5,5,0,0,5,0,0,5
E for Electric,15,0,15,15,15,0,0,0,0,15
E for Electric,0,14,14,0,0,0,0,0,0,0
E for Electric,56,56,56,56,0,56,56,56,56,0
E for Electric,334,334,0,334,334,334,334,334,334,0
E for Electric,42,42,42,42,42,0,0,0,42,0
E for Electric,0,133,0,133,0,0,0,133,0,0
E for Electric,98,98,98,98,0,0,0,0,0,0
E for Electric,0,87,87,87,87,0,0,0,0,0
E for Electric,107,107,107,107,107,0,0,0,107,107
E for Electric,87,87,87,87,87,0,87,0,87,87
E for Electric,29,29,29,29,29,0,0,0,29,0
E for Electric,134,134,134,134,0,0,134,134,134,0
E for Electric,2,2,2,2,2,2,2,0,2,0
E for Electric,0,0,0,0,0,0,0,0,0,0
